"mid","standard_question","standard_answer"
"398","有一绝热的活塞式气缸，缸内储有双原子分子理想气体，活塞可以在气缸内无摩擦地移动。初始时活塞处于平衡位置，气缸内气体体积 \( V_0 = 10 \mathrm{\;L} \) ，温度 \( T_0 = 27^\circ \mathrm{C} \) ，大气压强 \( p_0 = 10^5 \mathrm{\;Pa} \) ，活塞截面积 \( A = 4 \mathrm{\;cm}^2 \) 。现用恒力 \( F = 50 \mathrm{\;N} \)向内推动活塞，当活塞达到新的平衡位置时，求缸内气体的体积。 (结果以$ \mathrm{\;L} $为单位，保留3位有效数字)","6.03"
"314","一个物体放置在薄会聚透镜前 \( u = 10 \) 厘米处。在透镜后方某处放置一个凹球面镜。该光学系统对物体成像，且像的放大率为 \( k = 1 \)。移动面镜后，可以再次获得放大率为 1 的像。面镜的位移与面镜的曲率半径无关，在此情况下位移为 \( l = 9 \) 厘米。面镜始终位于透镜焦点的后方。求透镜的焦距。 (结果保留1位有效数字)"," 6 "
"353","在阴极射线管中，需要抽到多高的真空度，才能确保从阴极发出的电子有 \( {90}\% \) 能到达 \( {20}\mathrm{\;{cm}} \) 远处的阳极，而在途中不与空气分子碰撞（室温下空气分子的有效直径 \(\mathrm{d} = {3.0} \times  {10}^{-{10}}\mathrm{\;m}\))？ (结果使用科学计数法，以$ \mathrm{p}  $为单位，保留3位有效数字)","30.9 \times 10^{-3}"
"163","使用 He-Ne 激光器照射迈克耳孙干涉仪。初始状态下，望远镜视场内可观察到 20 个明暗相间的亮干涉环，且中心处呈现一明亮光斑。接着，缓慢移动反射镜 \(M_1\)，导致干涉环纹逐渐向中心聚拢，并有 20 个亮环在中心位置消失。移动后，视场中仅余下 10 个亮干涉环。请计算移动 \(M_1\) 前中心亮斑的干涉级次（分束板未镀膜）。 (结果保留2位有效数字)"," 40"
"191","U形管由两支竖直玻璃管和一支水平玻璃管构成。竖直管中，左侧一支的截面积为 \( S_{\text{left}} = 1.0\times10^{-2}\space\mathrm{cm}^{2} \)，右侧一支的截面积为 \( S_{\text{right}} = 3.0\times10^{-2}\space\mathrm{cm}^{2} \)，水平管的截面积为 \( S_{C} = 2.0\times10^{-2}\space\mathrm{cm}^{2} \)。水平管中有一段空气柱，在温度 \( t_{1} = 27^{\circ}\mathrm{C} \) 时，其长度为 \( l = 30\space\mathrm{cm} \)，空气柱左侧被一段长 \( a = 2.0\space\mathrm{cm} \) 的水银柱封闭，右侧被一段长 \( b = 3.0\space\mathrm{cm} \) 的水银柱封闭。两支竖直管中的水银柱高度均为 \( h = 12\space\mathrm{cm} \)。大气压强为 \( p_{0} = 76\space\mathrm{cmHg} \) 且保持不变。忽略温度变化时管和水银的热膨胀。求当空气温度缓慢升高到 \( t = 97^{\circ}\mathrm{C} \) 时空气的体积。 (结果以$ {\mathrm{\;{cm}}}^{3} $为单位，保留2位有效数字)"," 0.72"
"331","在无源自由空间中，磁场的表达式为：\(H = e_{y}2\cos(15\pi x)\sin\left[6\pi\times10^{9}t - \beta z\right] \ (A/m)\)请应用麦克斯韦方程组求解常数 \(\beta\)。 (结果以$ {\mathrm{{rad}}/\mathrm{m}} $为单位，保留4位有效数字)"," 41.56"
"257","望远镜物镜的孔径为 \( 75\,\text{mm} \)，假设观测者瞳孔直径为 \( 3.0\,\text{mm} \)。在放大倍数为 20 倍时，求通过该望远镜观察月球时，像的表观亮度与直接肉眼观察时的表观亮度之比。 (结果保留1位有效数字)"," 1"
"248","在一个密封刚性容器中，装有温度为 \( T_0 = 100^\circ \text{C} \) 的饱和水蒸气及其共存液态水。已知水蒸气的质量为 \( M = 0.1\,\text{kg} \)，液态水的质量为 \( m = 0.001\,\text{kg} \)。若持续向容器供应热量，当液态水恰好完全转化为蒸汽时，求容器内达到的最终温度 \( T \)。已知每升高1℃，饱和水汽压增加Δp = 3.7×10³Pa，水的汽化热为Lₘ = 2.25×10⁶J/kg，水蒸气的定容比热容cᵥ = 1.38×10³J/(kg·K)。 (结果以$ \mathrm{\;K}  $为单位，保留4位有效数字)","373.3"
"342","在竖直固定的气缸中封闭着一定质量的理想气体，该气体每摩尔的内能表达式为 \( E = \frac{3}{2} RT \)，其中 \( R \) 是气体普适常量，\( T \) 为热力学温度。一个质量为 \( M = 7.00  \mathrm{kg} \) 的活塞，通过劲度系数 \( k = 300  \mathrm{N/m} \) 的轻质弹簧与气缸底部连接。忽略活塞与气缸壁的摩擦以及弹簧的体积影响。初始平衡时，气体温度 \( T_1 = 300  \mathrm{K} \)，压强 \( p_1 = 1.40 \times 10^5  \mathrm{Pa} \)，气柱高度 \( L_1 = 50.0  \mathrm{cm} \)。活塞上方的大气压强为 \( p_0 = 1.00 \times 10^5  \mathrm{Pa} \)，活塞的横截面积 \( S = 25.0  \mathrm{cm}^2 \)。  
现有一个质量为 \( m = 3.00  \mathrm{kg} \) 的铅块，从活塞正上方 \( H = 80.0  \mathrm{cm} \) 处由静止释放，自由下落并与活塞发生完全非弹性碰撞，碰撞过程持续时间极短可忽略。碰撞后铅块与活塞共同运动，在后续过程中铅块与活塞分离，此时气体温度降至 \( T_2 = 290  \mathrm{K} \)。铅块最终反弹至活塞初始位置上方 \( h = 7.80  \mathrm{cm} \) 的高度。计算时取重力加速度 \( g = 10.0  \mathrm{m/s}^2 \)，活塞视为绝热，气缸壁导热，弹簧始终在弹性限度内。  
求：从铅块与活塞开始共同向下运动直至铅块刚分离的时刻，外界向气缸内气体传递的热量。 (结果以$ \mathrm{\;J} $为单位，保留3位有效数字)"," 10.7"
"285","在一个装有可移动活塞的气缸内，设置有托里拆利式水银柱结构。水银柱的上方封闭着氢气，气缸的下部则存在空气。起始状态中，水银柱高度为70厘米，空气压强为1.314大气压（等于133.4千帕斯卡或100厘米汞柱），温度为0°C（273K）。随后，向上移动活塞，使水银柱高度降低至40厘米，此时空气压强变为0.79大气压（80千帕斯卡或60厘米汞柱）。接下来，维持体积恒定，将温度升至T3，水银柱高度变为50厘米。最终，温度调整为T4，水银柱高度变为45厘米，空气压强与上一步相同。请确定最终氢气的压强。 (结果保留2位有效数字)","35"
"33","当一光源以速率 \( V_{1} \) 向空间站靠近时，空间站上静止的观测者A测量到光源发出的光波长为 \(\lambda=5000\mathrm{~\r{A}}\)，而相对空间站以速率 \( V_{2} \) 运动（与光源的运动沿同一直线）的观测者B测量到光波长为 \(\lambda=6000\mathrm{~\r{A}}\)。当光源以相同的速率 \( V_{1} \) 远离空间站时，观测者A也测量到波长为 \( \lambda_{2} \) 的光。当光源以 \( V_{1} \) 远离空间站时，观测者B测量到的光的波长多大？ (结果使用科学计数法，保留2位有效数字)","7.2 \times 10^{3}"
"32","均匀重力场中的等离子体：完全电离的离子气体，在均匀重力场 \( g \) 中平衡。离子荷电量为 \( Z\left| e\right| \)，原子量为 \( A \) 。气体具有稳定的温度 \( T \)，离子与电子之间处于平衡状态。气体的密度很小，粒子间的局域相互作用可忽略不计。已知某恒星质量 $M=2×10^{33}$ g，如果它的成分是纯氢，那么Q 等于多少库仑？ (结果保留2位有效数字)"," 77"
"137","现有一个直径为0.01米的均匀带电塑料球，其总带电量为10⁻⁸库仑，用绝缘线绳悬挂后，球的最底端与盐水容器的水面相距0.01米。观察发现，小球下方的水面出现了涌起现象。若忽略水的表面张力，且已知盐水密度为1000千克/立方米，试求水面涌起的高度。 (结果使用科学计数法，以$ \mathrm{\;m} $为单位，保留2位有效数字)","2.9 \times 10^{-4}"
"36","质量为 50 千克的人在原地以固定周期连续的跳跃，跳跃时克服重力做功的功率为 135 瓦，每次跳跃时与地面接触的时间占所用时间的 \( \frac{2}{5} \) 。若此人的心动周期和跳跃周期相同，心脏每搏一次输出 60 毫升血液，若将 9 毫克的药物注入他的静脉，经过一定长的时间后此人的血液中药物浓度为 2 毫克/升。求此人心脏每分钟跳动的次数。 (结果保留3位有效数字)","100 "
"51","电热保温箱的温度控制器通过周期性接通电路来维持箱内恒温，每次接通加热 \(\Delta t\) 时间后断开。在电网额定电压 \( U \) 时，\(\Delta t_1 = 1\) 分钟；当电网电压下降 10% 时，\(\Delta t_2 = 2\) 分钟。计算温度控制器能使保温箱保持这一指定温度所需的最小电网电压值？ (结果保留1位有效数字)","0.8"
"277","Consider a free electron exposed to a monochromatic electromagnetic wave. The wave has an intensity of \( I = 150 \, \mathrm{W/m^2} \) and an angular frequency of \( \omega = 3.4 \times 10^{15} \, \mathrm{s^{-1}} \). The influence of the magnetic field component on the electron's motion is negligible and can be disregarded, as confirmed by calculations. Determine the ratio \( F_m / F_e \), where \( F_m \) and \( F_e \) represent the amplitudes of the forces exerted by the magnetic and electric field components of the wave on the electron. (Results should be expressed in scientific notation, with units of $ {\mathrm{m}} $,and rounded to 2 significant figures)","2.9 \times 10^{-11}"
"41","A Kerr cell is placed between two crossed polarizers such that the electric field \(\mathbf{E}\) in the capacitor is oriented at \(45^{\circ}\) to the transmission axes of the polarizers. The capacitor has a length of \( l = 10\,\mathrm{cm} \) and is filled with nitrobenzene. Monochromatic light of wavelength \( \lambda = 0.50\,\mu\mathrm{m} \) is incident on the setup. The Kerr constant for this arrangement is specified as \( B = 2.2 \times 10^{-10}\,\mathrm{cm}/\mathrm{V}^{2} \). Note: The Kerr constant \( B \) is defined by the relation \( n_{e} - n_{0} = B \lambda E^{2} \). Calculate the frequency per second at which the light is obstructed when a sinusoidal AC voltage with frequency \( \nu = 10\,\mathrm{MHz} \) and peak electric field amplitude \( E_{m} = 50\,\mathrm{kV}/\mathrm{cm} \) is supplied to the capacitor. (Results should be expressed in scientific notation, and rounded to 2 significant figures)","2.2 \times 10^{8}"
"46","One end of a steel cable is attached to a spherical buoy of mass \( M = 10  \mathrm{kg} \) and diameter \( D = 0.3  \mathrm{m} \) (volume \( V = 0.0141  \mathrm{m}^3 \)), while the other end is free. The cable has a length \( l = 3  \mathrm{m} \) and mass \( m = 9  \mathrm{kg} \). The system is placed in a water tank with depth \( H = 3  \mathrm{m} \). Determine the depth below the water surface at which the buoy will float, given that steel is 7.85 times denser than water. (Results should be expressed with units of $ \mathrm{\;m}  $,and rounded to 2 significant figures)"," 1.4"
"341","Find the threshold energy of a gamma quantum required to form an electron-positron pair in the field of a stationary positron. (Results should be expressed with units of $ \mathrm{{MeV}}  $,and rounded to 3 significant figures)"," 2.04"
"14","A semiconductor exhibits no Hall effect when the electron mobility is \( \eta = 2.0 \) times the hole mobility. Calculate the ratio of the hole concentration to the conduction electron concentration. (Results should be expressed and rounded to 2 significant figures)"," 4.0"
"175","Light traverses a setup consisting of two crossed Nicol prisms with a quartz plate oriented perpendicular to its optical axis positioned between them. The specific rotatory power of quartz for the given wavelengths is 41.5 and 31.1 degrees per millimeter for 436 nm and 497 nm, respectively. Calculate the minimal plate thickness required to fully obstruct light at 436 nm while permitting 50% transmission for light at 497 nm. (Results should be expressed with units of $ \mathrm{\;{mm}}  $,and rounded to 2 significant figures)"," 8.7"
"134","A very short magnet \( X \) of mass \( m \) is suspended horizontally by a thread of length \( \ell  = 1\mathrm{\;m} \). Another very short magnet \( Y \) is gradually moved towards \( X \) such that their axes remain at the same horizontal height. When the separation between the magnets is \( d = 4\mathrm{\;{cm}} \), and magnet \( X \) is displaced by \( s = 1\mathrm{\;{cm}} \) from its original position, \( X \) abruptly jumps to attach to \( Y \).

Magnet \( Y \) is fixed inside a vertical glass cylinder, which is sealed at the lower end. Magnet \( X \) is positioned above \( Y \) within the cylinder with an orientation causing mutual repulsion. Despite magnet \( X \) potentially desiring to invert its polarity, it is hindered by the cylinder's confinement. Determine the separation between the magnets at static equilibrium. (Results should be expressed with units of $ \mathrm{\;{cm}} $,and rounded to 2 significant figures)","  1.3"
"3","At what temperature does supercooled water completely freeze? (Results should be expressed with units of $ { \circ  }\mathrm{C} $,and rounded to 2 significant figures)","- 80"
"38","钠黄光垂直入射至石英晶片，发生双折射现象。已知石英晶体的主折射率为 \( n_o = 1.544 \) 和 \( n_e = 1.553 \)。为使晶片中传播的寻常光与非常光的光线方向分离角度最大，晶片光轴方向应与晶片表面法线成多大角度？ (结果以$ { \circ $为单位，保留4位有效数字)"," 44.83"
"150","已知引力常数 \( G = {6.67} \times  {10}^{-{11}} \) 米 \( {}^{3} \) /(千克 \( \cdot \) 秒 \( {}^{2} \) )，地球半径 \( {R}_{\mathrm{E}} = {6.4} \times  {10}^{6} \) 米，地球质量 \( {M}_{\mathrm{E}} = {6.0} \) \( \times  {10}^{24} \) 千克。从北极发射一导弹，落在赤道上 (经历纬度 90°)。忽略空气阻力。求最省能量的发射速度是多少。 (结果使用科学计数法，保留3位有效数字)","7.20 \times 10^{3}"
"108","一个旋转平台初始以 \( 33\frac{1}{3} \) 转/分的速度转动。其边缘均匀分布多个标记点，并由频率为 100 Hz 的频闪灯照射。关闭动力后，摩擦导致平台匀减速。在最初 4 秒内，一个选定的标记点相对于固定参考位置移动了 10 个标记点间隔。平台完全停止转动需要多长时间？ (结果保留2位有效数字)"," 80"
"103","For an ideal gas composed of rigid diatomic molecules undergoing a polytropic process where the collision frequency per unit volume remains constant, determine the molar heat capacity. (Results should be expressed with units of $ \mathrm{\;J} $,and rounded to 2 significant figures)"," 23"
"93","一个玻璃透镜，其一表面为凸面，曲率半径 \( 3\mathrm{\;cm} \)，另一表面为凹面，曲率半径 \( 4\mathrm{\;cm} \)，材质折射率为 1.6，试求该透镜的焦距。 (结果以$ \mathrm{\;{cm}}  $为单位，保留2位有效数字)","  20"
"233","一位用户的眼镜镜片由折射率为 1.52 的玻璃制成，属于凹凸薄透镜类型，凸面曲率半径为 \( 0.08\,\mathrm{m} \)，凹面曲率半径为 \( 0.13\,\mathrm{m} \)。求其在空气中的焦距。 (结果以$ \mathrm{\;m} $为单位，保留2位有效数字)"," 0.40"
"34","对于 3 mol 的氧气，初始压强为 2 atm，体积为 40 L。该气体首先经历绝热压缩过程，体积变为 20 L，随后经历等温膨胀过程，体积恢复至 40 L。求此过程中压强的最大值。 (结果使用科学计数法，以$ \mathrm{\;{Pa}} $为单位，保留3位有效数字)","5.35 \times 10^{5}"
"253","一个热气球的容积为 \( V = 1.2  \mathrm{m}^3 \)，不可膨胀，其外壳的质量为 \( m = 0.2  \mathrm{kg} \)，体积可忽略。当大气压强 \( p_0 = 1.0  \mathrm{atm} \)，气温 \( t_1 = 20^\circ \mathrm{C} \) 时，气球恰好静止悬浮于地面大气中。若该气球被密封并绝热，且内部温度恒定为 \( t_3 = 110^\circ \mathrm{C} \)，在具有地面压强 \( p_0 = 1.0  \mathrm{atm} \) 和温度 \( t_1 = 20^\circ \mathrm{C} \) 的等温大气环境中，气球可达到的稳定高度 \( h \) 是多少？ (结果以$ \mathrm{\;m} $为单位，保留3位有效数字)"," 870"
"193","三个带电粒子 A、B、C 被约束在光滑圆形轨道上自由移动。粒子 A 带电量为 \( +Q \)，粒子 B 和 C 各带电量为 \( +q \)。当系统平衡时，粒子 B 与 C 之间的圆心角为 \( 60^\circ \)。求 \( Q \) 与 \( q \) 的比值。 (结果保留3位有效数字)"," 12.5"
"297","一个毛细管竖直浸入水中（假设水与管壁完全润湿），其下端位于水面以下 \( h_{1} = 10 \, \mathrm{cm} \) 处。由于毛细作用，管内的液面比外部液面高出 \( h_{2} = 4 \, \mathrm{cm} \)。现通过管口向管内注入气体，使毛细管下端形成一个半球形气泡。求管中气体的压强 \( P \) 比大气压 \( P_{0} \) 高出多少？ (结果使用科学计数法，以$ \mathrm{\;{Pa}} $为单位，保留2位有效数字)","1.4 \times 10^{3}"
"148","一个质量为 \( m \) 的物体沿倾角为 \( \theta \) 的斜面向下滑动，但被赋予一个向上的初速度。物体与斜面之间的动摩擦系数为 \( \mu \)，且满足 \( \mu < \tan \theta \)。已知 \( m = 1.00  \text{kg} \), \( \mu = 0.20 \), \( \theta = 30^\circ \)。如果物体的初速度大小为 \( 3.00  \text{m/s} \) 方向沿斜面向上，求在运动过程中因摩擦力作用而转化为热能的能量损失 \( \Delta E \) 。 (结果以$ \mathrm{\;J}  $为单位，保留2位有效数字)"," 2.3"
"35","在光谱分析中，使用一陆末-格尔克板，其长度为 \( L = 30\,\mathrm{cm} \)，厚度为 \( d = 1\,\mathrm{cm} \)，材料折射率为 \( n = 1.52 \)。若入射光波长为 \( \lambda = 4861\,\mathrm{\AA} \)，且折射率随波长变化率为 \( \frac{\mathrm{d}n}{\mathrm{d}\lambda} = 9.6 \times 10^{-6}\,\mathrm{\AA}^{-1} \)，试确定该板的色散区域。 (结果保留2位有效数字)","0.10"
"122","三个小球 A、B 和 B' 初始静止于无摩擦的水平直线上。A 和 B 的质量不相等，而 B 与 B' 质量相同，两者间由一轻弹簧相连，弹簧处于自然长度。A 以恒定速度朝 B 运动，与 B 发生完全弹性碰撞。碰撞后，观察到 A 和 B 出现一次相遇但未发生碰撞的情形。（结果需给出三位有效数字。）求 A 的质量与 B 的质量之比 γ。 (结果保留3位有效数字)"," 4.60"
"224","一内径为 \( 2r = 0.1 \, \text{m} \) 的竖直圆筒容器，盛有处于热平衡的分子气体，气体温度与室温相同，为 \( T_0 = 20^\circ \text{C} \)，气体量为 \( n = 0.1 \, \text{mol} \)。容器顶部覆盖一质量可忽略、可自由上下滑动的玻璃板，其质量为 \( m = 0.8 \, \text{kg} \)。假设气体无泄漏，玻璃板与筒壁间摩擦力仅用于消除振动，且其能量损失远小于其他能量项。筒内气体视为理想气体，圆筒（含筒底及上盖）的热导率与热容均极低。一功率恒定的激光源发出波长为 \( \lambda = 5.14 \times 10^{-7} \, \text{m} \) 的光束，无损耗地穿透空气和玻璃板后被筒内气体完全吸收。吸收辐射后，气体分子受激并迅速释放红外辐射，逐步弛豫至基态。该红外辐射被其他分子吸收，并经筒壁、筒底和玻璃板多次反射。因此，激光能量在极短时间内转化为分子热运动能，并长期存留于气体中，导致玻璃板上升。辐照 \( \Delta t = 10 \, \text{s} \) 后停止激光，测得玻璃板位移为 \( \Delta h = 0.03 \, \text{m} \)。求气体单位时间内吸收的光子数。 (结果使用科学计数法，以$ \mathrm{s} $为单位，保留2位有效数字)","2.2 \times 10^{19}"
"135","一门实验火炮的炮管长度为 \( 3.66  \mathrm{m} \)，内径为 \( 0.152  \mathrm{m} \)，弹丸质量为 \( 45.4  \mathrm{kg} \)。火药完全燃烧时，弹丸已推进 \( 0.98  \mathrm{m} \)，此时速度为 \( 311  \mathrm{m/s} \)，膛内气体压强为 \( 2.43 \times 10^8  \mathrm{Pa} \)。此后气体绝热膨胀至弹丸出口。忽略摩擦，求弹丸的出口速度。 (结果以$ \mathrm{\;m} \cdot  {\mathrm{s}}^{-1} $为单位，保留3位有效数字)"," 563"
"300","质量为 \( M = {200}\mathrm{\;g} \) 的物块置于 \( 5\mathrm{\;m} \) 高的平台边缘，一颗质量为 \( m = {10}\mathrm{\;g} \)，速度大小为 \( v = {500}\mathrm{\;m}/\mathrm{s} \) 的子弹水平射入物块中心并贯穿。若物块落地时与平台基部的水平距离为 \( l = {20}\mathrm{\;m} \)，求子弹落地时与平台基部的水平距离 \( L \)。 (结果以$ \mathrm{\;m} $为单位，保留3位有效数字)"," 100"
"61","一根无限长直导线，具有均匀线电荷密度 \( {1.0} \times  {10}^{-8}\mathrm{C}/\mathrm{m} \)，水平放置，离地面高度为 \( {5.0}\mathrm{\;m} \)。求该导线正下方地平面处的电场强度。 (结果以$ \mathrm{\;V}/\mathrm{m} $为单位，保留2位有效数字)"," 72"
"380","一个电动势为 \( E = 6 \) 伏特、内阻不计的直流电源，向一个电阻为 \( R_L = 2 \) 欧姆、工作电压为 \( U_L = 4.5 \) 伏特的电阻性负载供电。通过配置为分压器电路的滑线变阻器为负载提供工作电压。若要求系统的功率转换效率不低于 \( \eta_{\text{min}} = 0.6 \)，则变阻器的总阻值应是多少？ (结果保留3位有效数字)"," 8.53"
"128","有一个呈圆锥形的宇宙装置，它的高度是\(10\mathrm{cm}\)，顶角为\(120^{\circ}\)。这个装置在大气层内运行的时候，是尖端朝着前方的，并且运行速度达到了\(10\mathrm{km/s}\)。现在，已知空气分子的浓度是\(10^{5}\mathrm{cm}^{-3}\)，每个空气分子的相对分子质量为\(4.5×10^{-23}\mathrm{g}\)，同时还能把空气分子看作是静止的，而且它们与这个宇宙装置发生碰撞时属于完全弹性碰撞。那么，我们要试着去计算一下，在单位时间内，这个宇宙装置会传递给空气分子多少能量？ (结果使用科学计数法，以$ \mathrm{\;J} $为单位，保留3位有效数字)","6.36 \times 10^{-4}"
"292","A circular loop of radius \( r = 25\,\mathrm{cm} \) is formed from a thin copper wire of total length \( l = 500\,\mathrm{m} \), rotating at an angular velocity \( \omega = 300\,\mathrm{rad/s} \) about its central axis. The loop is connected to a ballistic galvanometer using slip rings, and the overall resistance of the circuit is \( R = 21\,\Omega \). Determine the charge-to-mass ratio of the charge carriers in copper if an abrupt halt of the loop causes a charge \( q = 10\,\mathrm{nC} \) to flow through the galvanometer. (Results should be expressed in scientific notation, with units of $ \mathrm{C}/\mathrm{{kg}} $,and rounded to 2 significant figures)","1.8 \times 10^{11}"
"157","一个球凹面镜，曲率半径 \( R = 60 \, \text{cm} \)，其凹面部分覆盖着一层水膜。假设水膜的厚度远小于曲率半径 \( R \)。求凹透镜的有效焦距，水的折射率 \( n = \frac{4}{3} \)。 (结果以$ \mathrm{\;{cm}} $为单位，保留3位有效数字)"," 22.5"
"235","一个旋转式花园喷头均匀覆盖半径为 \( 12\mathrm{\;m} \) 的草坪，水从 \( 4\mathrm{\;m} \) 深的地下蓄水池中每分钟抽取 \( 80\mathrm{\;L} \) 供应，试求驱动水泵的电动机功率。 (结果以$ \mathrm{\;W}  $为单位，保留3位有效数字)","  131"
"107","一束单色线偏振光垂直入射到方解石晶体上，其偏振方向与晶体主截面夹角为 \( 30^\circ \)。晶体分成的两束折射光再通过尼科耳棱镜，该棱镜的主截面与初始入射光的偏振方向成 \( 50^\circ \) 角。求这两条透射光线的相对强度。 (结果保留4位有效数字)"," 10.72"
"227","A microscope has an objective with a numerical aperture of 0.24. Determine the smallest distance between two points that can be resolved by this microscope when the object is illuminated by light of wavelength \(0.55 \mu \mathrm{m}\). (Results should be expressed with units of $\mu \mathrm{m}  $,and rounded to 2 significant figures)"," 1.4"
"13","A point source with luminous intensity \( I_0 = 100 \) cd is positioned at a distance \( s = 20.0 \) cm from a converging lens with focal length \( f = 25.0 \) cm. Find the luminous intensity of the transmitted ray if the transmission coefficient of the lens is \( \tau = 0.80 \) . (Results should be expressed in scientific notation, with units of $ {\prime $,and rounded to 2 significant figures)","2.0 \times 10^{3}"
"186","A tall vertical cylindrical vessel with a height of \(h = 75\ \text{cm}\) has a narrow vertical slit on its sidewall that extends from the top all the way to the bottom of the vessel. The slit has a length of \(l = 50\ \text{cm}\) and a width of \(b = 1.0\ \text{mm}\). The vessel is filled with water when the slit is closed. Find the resultant force of reaction exerted by the water flowing out of the vessel immediately after the slit is opened. (Results should be expressed with units of $ \mathrm{\;N} $,and rounded to 1 significant figures)"," 5"
"278","An AC source with angular frequency ω = 314 rad/s is applied to a parallel arrangement of a resistor R = 100 Ω and a capacitor C = 73 μF. Determine the impedance of the circuit. (Results should be expressed and rounded to 2 significant figures)"," 40"
"208","一个容积固定的容器中装有氩气，维持温度 \( T_0 = 300 \, \mathrm{K} \)。容器侧面开有小孔，气体分子通过该孔泻流至真空环境。求泻流过程中逸出分子的最概然速率。 (结果以$ \mathrm{\;m}/\mathrm{s} $为单位，保留3位有效数字)","431"
"340","Employing the vector model, compute the angular precession velocity of the total angular momentum for an atom prepared in the state \( {}^{2}{P}_{3/2} \), subjected to an external magnetic field with induction \( B = 1.0 \, \text{kG} \). (Results should be expressed in scientific notation, with units of $ \mathrm{rad/s} $,and rounded to 2 significant figures)","1.2 \times 10^{10}"
"336","容器内贮有氧气，其压强\(p=1\mathrm{atm}\)，温度\(t=27^\circ\mathrm{C}\)。试计算分子的平均动能\(\bar{w}\)。 (结果使用科学计数法，以$ \mathrm{\;J}  $为单位，保留3位有效数字)","1.04 \times 10^{-20}"
"306","Find the Landé \( g \) factor for the atomic term \( ^{4}D_{1/2} \). (Results should be expressed and rounded to 1 significant figures)","0"
"179","A metal rod slides at a uniform speed parallel to a stationary ruler. In the ruler's rest frame, the measured length of the rod is \( \Delta x_1 = 4.0 \, \text{m} \) when the positions of both ends are recorded simultaneously. Conversely, when the positions of the rod's ends are marked at the same instant in the rod's rest frame, the distance between these marks on the ruler is \( \Delta x_2 = 9.0 \, \text{m} \). Calculate the proper length of the rod. (Results should be expressed with units of $ \mathrm{\;m} $,and rounded to 2 significant figures)"," 6.0"
"241","To cause the \( (n, \alpha) \) reaction with stationary boron-11 nuclei, neutrons must possess a minimum kinetic energy of 4.0 MeV. Determine the Q-value of this nuclear reaction. (Results should be expressed with units of $ \mathrm{{MeV}} $,and rounded to 2 significant figures)","- 3.7"
"180","一个声源发出的声音频率为 \( 1080  \mathrm{Hz} \)，并以 \( 30  \mathrm{m/s} \) 的速度向右运动。在声源右侧，一个反射面正以 \( 65  \mathrm{m/s} \) 的速度向左运动。设声速为 \( 330  \mathrm{m/s} \)，求反射回的声音的频率。 (结果以$ \mathrm{\;{Hz}} $为单位，保留4位有效数字)"," 1771"
"283","A block attached to a horizontal spring is displaced from its equilibrium position by an initial distance \( x_0 = 1.0  \mathrm{cm} \) and released from rest. What is the total path length traveled by the block during its damped oscillations until it comes to a complete stop, if the logarithmic decrement is \( \lambda = 0.020 \)? (Results should be expressed with units of $ \mathrm{\;m} $,and rounded to 1 significant figures)"," 2"
"243","Determine the minimum kinetic energy required for protons to trigger the \( \mathrm{(p,d)} \) reaction on \( {}^{7}\mathrm{Li} \) nuclei. (Results should be expressed and rounded to 3 significant figures)","5.75 "
"223","Polonium-210 (\( ^{210}\mathrm{Po} \)) nuclei undergo alpha decay from their ground state, emitting alpha particles with two distinct kinetic energies: 5.30 MeV and 4.50 MeV. As a result, the daughter nuclei are formed in both the ground state and an excited state. Calculate the energy of the gamma-ray photons released when the excited daughter nuclei de-excite to the ground state. (Results should be expressed with units of $ \mathrm{{MeV}}  $,and rounded to 2 significant figures)"," 0.82"
"202","In an X-ray tube, as the accelerating voltage is raised from \( V_1 = 10 \, \text{kV} \) to \( V_2 = 20 \, \text{kV} \), the spectral separation between the characteristic \( K_\alpha \) line and the short-wavelength boundary of the continuous X-ray spectrum triples. Determine the atomic number of the anticathode material. (Results should be expressed and rounded to 2 significant figures)"," 29"
"24","A circular opaque disk of diameter \( D = 40\mathrm{\;mm} \) is positioned between a monochromatic light source of wavelength \( \lambda = 0.55\mu\mathrm{m} \) and a detection screen. The source-to-disk distance is \( a = 12\mathrm{\;m} \), and the disk-to-screen distance is \( b = 18\mathrm{\;m} \). Determine the image size \( y^{\prime} \) on the screen given the transverse size of the source is \( y = 6.0\mathrm{\;mm} \). (Results should be expressed with units of $ {\prime $,and rounded to 1 significant figures)"," 9"
"83","What proportion of supercooled water at a temperature of \(-20^\circ \mathrm{C}\) under standard atmospheric pressure crystallizes into ice upon reaching a state of thermodynamic equilibrium? (Results should be expressed and rounded to 2 significant figures)"," 0.25"
"197","在光滑半球形碗的底部，静止放置一个质量 \( m = {50} \) 克的质点 B。另一个与 B 完全相同的质点 A 从碗内侧高度 \( h = {5.0} \) 厘米处由静止释放。设 A 和 B 的碰撞为非弹性碰撞，恢复系数 \( e = {0.6} \)。求碰撞后 B 能够上升到的最大垂直高度？ (结果保留2位有效数字)","3.2"
"222","For gaseous sodium at temperature \( T = 2400  \mathrm{K} \), the wavelength of the spectral line associated with the transition from the excited state \( 3P \) to the ground state \( 3S \) is \( \lambda = 589  \mathrm{nm} \). Determine the ratio of the number of atoms in the \( 3P \) state to the number in the \( 3S \) state. (Results should be expressed in scientific notation, and rounded to 3 significant figures)","1.14 \times 10^{-4}"
